##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Total Bases	8.2 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1111	46-47	0.1961723545802485
1111	48-49	0.23053061716159817
1111	50-51	0.1525876153490202
1111	52-53	0.11237499335230439
1111	54-55	0.3147144861701108
1111	56-57	0.1928928538784831
1111	58-59	0.27455731945536854
1111	60-61	0.2369030736445339
1111	62-63	0.20819887392824654
1111	64-65	0.23036437559090217
1111	66-67	0.2577512929727206
1111	68-69	0.31208599629223954
1111	70-71	0.18693143931486844
1111	72-73	0.20835643226199352
1111	74-75	0.20403262318104254
1111	76-77	0.25332530668729447
1111	78-79	0.3283613938446237
1111	80-81	0.15949018483421185
1111	82-83	0.1033618829999341
1111	84-85	0.18145844248583387
1111	86-87	0.20834173929478084
1111	88-89	0.19345697650174287
1111	90-91	0.10899533190619337
1111	92-93	0.16868650849324496
1111	94-95	0.16646367473794754
1111	96-97	0.22471732945456324
1111	98-99	0.3479235349819163
1111	100-101	0.21341734746786045
1112	1	0.22115070244012358
1112	2	-0.042587771774922345
1112	3	-0.04957082927739265
1112	4	0.0887562780344382
1112	5	0.11724211097564563
1112	6	0.2591911988400071
1112	7	0.2827396250453802
1112	8	0.3412332159160911
1112	9	0.23263248524092006
1112	10-11	0.23858829940316184
1112	12-13	0.2303775829573098
1112	14-15	0.2367173730995873
1112	16-17	0.31642140222282933
1112	18-19	0.2832912694891334
1112	20-21	0.28817926010502504
1112	22-23	0.34644012413340874
1112	24-25	0.39305252245640787
1112	26-27	0.37771646173325735
1112	28-29	0.27155348044406225
1112	30-31	0.26538507077145823
1112	32-33	0.35875490324087167
1112	34-35	0.3138213440830171
1112	36-37	0.25366106001005306
1112	38-39	0.24145202318358372
1112	40-41	0.24272044524452951
1112	42-43	0.3621853681059406
1112	44-45	0.360703514701882
1112	46-47	0.35328515247874037
1112	48-49	0.4113466693284451
1112	50-51	0.36376175588397786
1112	52-53	0.3278769109674542
1112	54-55	0.5219814224817014
1112	56-57	0.32010370046823056
1112	58-59	0.37811947168764704
1112	60-61	0.461226979728103
1112	62-63	0.37839414991443476
1112	64-65	0.4103489284535655
1112	66-67	0.4571614770466965
1112	68-69	0.4906484438351342
1112	70-71	0.36977006487278885
1112	72-73	0.3990873711642351
1112	74-75	0.40245681494211283
1112	76-77	0.4868023119582503
1112	78-79	0.5577391541425456
1112	80-81	0.42657231219764213
1112	82-83	0.39737334086851206
1112	84-85	0.44335316003510883
1112	86-87	0.5146252682354202
1112	88-89	0.4551461270287902
1112	90-91	0.37345236713368735
1112	92-93	0.4169915546608465
1112	94-95	0.39551009336845766
1112	96-97	0.39370028365496523
1112	98-99	0.5006896401410259
1112	100-101	0.28378714377031855
1113	1	0.1472921118734689
1113	2	0.1276334021156842
1113	3	0.3025655675042529
1113	4	0.27399500242886177
1113	5	0.16099707457592416
1113	6	0.3147266464808638
1113	7	0.24721744341282204
1113	8	0.32023325758689936
1113	9	0.2592265941867282
1113	10-11	0.28129122740425316
1113	12-13	0.24390224740973565
